Toe 25_55,Toe 25_59,Toe 25_69,Toe 35_55,Toe 35_59,Toe 35_69,Toe 40_55,Toe 40_59,Toe 40_69
244.8,242.4,244.7,234.0,234.96,236.53,230.85,228.96,229.44
244.13,244.56,245.8,234.0,236.16,236.53,229.05,230.64,234.56
244.13,244.56,247.5,234.9,237.6,240.46,229.05,230.64,233.15
244.13,246.7,248.34,232.65,236.64,238.2,229.05,228.48,232.31
244.58,246.7,250.0,235.58,236.64,240.19,230.63,228.96,234.56
243.9,244.8,246.6,235.58,235.44,238.5,228.38,230.4,232.6
243.0,244.8,246.6,234.45,233.76,235.69,229.5,230.4,232.6
243.0,245.76,245.81,234.45,234.96,238.5,230.85,230.4,233.44
243.0,244.32,246.65,234.45,234.96,238.5,231.3,228.96,233.44
245.47,244.32,246.65,235.35,235.92,238.5,228.85,229.92,234.0
243.45,244.32,246.1,235.35,235.92,238.5,230.18,230.64,229.8
243.91999999999996,244.6766666666667,246.90416666666667,234.67583333333332,235.66,238.1,229.79,229.82000000000002,232.7541666666667
